,Date,Count_Pos_Reviews,Count_Neg_Reviews
685,2021-09-30,6,0
686,2021-10-01,2,0
687,2021-10-03,2,0
688,2021-10-04,6,0
689,2021-10-05,7,3
690,2021-10-06,7,1
691,2021-10-07,4,0
692,2021-10-08,4,0
693,2021-10-09,7,1
694,2021-10-11,6,0
695,2021-10-12,3,1
696,2021-10-13,3,0
697,2021-10-14,6,2
698,2021-10-15,3,0
699,2021-10-16,3,1
700,2021-10-17,3,2
701,2021-10-18,2,0
702,2021-10-19,7,0
703,2021-10-20,3,0
704,2021-10-21,5,1
705,2021-10-22,4,0
706,2021-10-23,2,1
707,2021-10-24,4,0
708,2021-10-25,8,0
709,2021-10-26,2,0
710,2021-10-27,7,0
711,2021-10-28,1,2
712,2021-10-29,3,0
713,2021-10-30,2,0
714,2021-10-31,0,1
715,2021-11-01,2,0
716,2021-11-02,2,0
717,2021-11-03,3,0
718,2021-11-04,2,1
719,2021-11-05,3,0
720,2021-11-06,2,0
721,2021-11-07,1,0
722,2021-11-08,1,0
723,2021-11-09,6,1
724,2021-11-10,0,1
725,2021-11-12,1,0
726,2021-11-13,1,0
727,2021-11-14,1,1
728,2021-11-15,3,0
729,2021-11-18,2,1
730,2021-11-19,6,2
731,2021-11-20,2,0
732,2021-11-21,1,1
733,2021-11-22,4,0
734,2021-11-23,3,0
735,2021-11-24,3,1
736,2021-11-25,3,0
737,2021-11-26,2,1
738,2021-11-27,4,0
739,2021-11-28,2,3
740,2021-11-29,7,2
741,2021-11-30,11,0
742,2021-12-01,5,2
743,2021-12-02,12,1
744,2021-12-03,9,3
745,2021-12-04,10,0
746,2021-12-05,4,0
747,2021-12-06,10,0
748,2021-12-07,9,3
749,2021-12-08,6,3
750,2021-12-09,10,1
751,2021-12-10,18,1
752,2021-12-11,14,1
753,2021-12-12,11,1
754,2021-12-13,19,0
755,2021-12-14,13,4
756,2021-12-15,11,4
757,2021-12-16,14,4
758,2021-12-17,13,3
759,2021-12-18,5,2
760,2021-12-19,6,0
761,2021-12-20,14,1
762,2021-12-21,5,1
763,2021-12-22,6,1
764,2021-12-23,10,1
765,2021-12-24,2,1
766,2021-12-25,5,0
767,2021-12-26,4,0
768,2021-12-27,12,1
769,2021-12-28,9,1
770,2021-12-29,6,2
771,2021-12-30,8,1
772,2021-12-31,1,0
773,2022-01-01,2,0
774,2022-01-02,6,1
775,2022-01-03,6,2
776,2022-01-04,7,1
777,2022-01-05,6,3
778,2022-01-06,8,1
779,2022-01-07,8,2
780,2022-01-08,4,0
781,2022-01-09,3,0
782,2022-01-10,4,1
783,2022-01-11,3,0
784,2022-01-12,5,1
785,2022-01-13,4,0
786,2022-01-14,2,2
787,2022-01-15,4,1
788,2022-01-16,2,0
789,2022-01-17,3,1
790,2022-01-18,1,1
791,2022-01-19,5,0
792,2022-01-20,4,0
793,2022-01-21,3,1
794,2022-01-22,1,1
795,2022-01-23,1,0
796,2022-01-24,1,0
797,2022-01-25,2,1
798,2022-01-26,4,1
799,2022-01-27,2,0
800,2022-01-28,2,0
801,2022-01-29,1,1
802,2022-01-30,5,0
803,2022-01-31,2,0
804,2022-02-01,4,1
805,2022-02-03,2,0
806,2022-02-04,4,0
807,2022-02-05,2,1
808,2022-02-06,2,0
809,2022-02-07,3,0
810,2022-02-08,1,0
811,2022-02-09,5,0
812,2022-02-10,0,2
813,2022-02-11,5,0
814,2022-02-12,1,0
815,2022-02-13,3,0
816,2022-02-15,6,2
817,2022-02-16,0,1
818,2022-02-17,5,0
819,2022-02-18,2,0
820,2022-02-19,1,0
821,2022-02-20,2,0
822,2022-02-21,1,2
823,2022-02-22,3,0
824,2022-02-23,2,2
825,2022-02-24,2,2
826,2022-02-25,1,1
827,2022-02-26,3,0
828,2022-02-27,5,1
829,2022-03-01,4,0
830,2022-03-04,1,0
831,2022-03-05,2,0
832,2022-03-06,1,1
833,2022-03-07,1,1
834,2022-03-08,1,1
835,2022-03-10,1,2
836,2022-03-11,1,0
837,2022-03-12,5,0
838,2022-03-13,2,1
839,2022-03-15,4,0
840,2022-03-16,2,0
841,2022-03-17,1,1
842,2022-03-18,1,0
843,2022-03-19,1,1
844,2022-03-21,2,0
